MPH
80
90
112
90
130
110
80
110
80
110
110
120
105
120
85
82
80
110
160
90
105
70
105
100
95
90
40
80
120
90
110
75
90
90
85
85
85
110
110
90
90
95
160
152
95
86
70
80
40
70
85
138
105
104
110
100
102
94
120
95
105
65
95
80
90
115
85
110
85
104
70
80
120
100
90
85
110
60
138
118
85
130
80
65
100
180
90
90
110
102
80
120
