kmedian,parmedian,public,private,ivyplus,otherelite,hselective,selective,northeast,midwest,west,pctfemale,pctkmarried
19700,99200,0,1,0,0,1,0,1,0,0,69.786096,38.929892
79800,119600,0,1,0,0,1,0,1,0,0,42.668799,61.70792
36500,42500,0,0,0,0,0,0,1,0,0,67.83154,32.951048
37600,51200,0,0,0,0,0,0,1,0,0,70.500374,40.715447
27400,119300,0,1,0,0,0,0,1,0,0,22.272144,41.283527
43400,103100,0,1,0,0,0,1,0,0,0,64.803803,74.294841
20900,91100,0,1,0,0,0,0,1,0,0,0.98280096,86.619222
42400,77600,0,1,0,0,0,1,0,0,0,53.571427,67.911488
39800,73700,0,1,0,0,0,1,0,1,0,45.641026,66.305864
35500,76000,0,1,0,0,0,0,0,1,0,50.99715,71.538967
31500,81300,0,1,0,0,0,1,0,1,0,62.484157,70.642859
34500,54700,0,1,0,0,0,1,0,0,0,53.539824,64.974946
40200,100000,0,1,0,0,0,1,0,1,0,61.640799,79.165053
32500,43000,0,1,0,0,0,1,0,0,0,55.299538,21.432418
65700,104400,1,0,0,0,1,0,1,0,0,54.666668,55.965865
35700,95300,0,1,0,0,0,1,0,0,1,63.925236,74.655741
48100,137900,0,1,0,0,0,1,0,0,0,57.390302,66.46319
40400,68300,1,0,0,0,0,1,0,1,0,46.561968,61.560637
41300,65800,0,1,0,0,0,1,0,1,0,54.090911,60.63652
35600,40800,0,1,0,0,0,1,1,0,0,61.233479,25.008073
45700,89800,1,0,0,0,0,1,1,0,0,60.61421,65.883839
24800,54700,1,0,0,0,0,1,0,0,0,54.24493,54.182345
42400,77100,0,1,0,0,0,1,0,1,0,57.28395,83.600038
31900,77100,1,0,0,0,0,1,0,0,1,52.977616,62.344468
23200,28900,0,1,0,0,0,1,1,0,0,69.729728,20.675738
71800,168400,0,1,0,1,0,0,1,0,0,51.660973,60.101098
62000,126800,0,1,0,0,1,0,1,0,0,62.199748,53.076339
61000,177600,0,1,0,1,0,0,1,0,0,51.275915,59.304941
42600,92800,1,0,0,0,0,1,0,1,0,56.63774,65.048474
54900,112900,0,1,0,0,0,1,0,1,0,55.595547,66.091794
63100,142700,0,1,0,1,0,0,1,0,0,57.296038,58.348888
35700,74000,1,0,0,0,0,1,0,0,0,47.708449,48.13385
34600,87000,0,1,0,0,0,1,0,0,0,98.255813,59.162736
29300,93900,0,1,0,0,0,0,0,0,0,46.4986,48.098892
30400,63400,0,1,0,0,0,1,0,0,0,49.494949,57.968891
39500,74400,0,1,0,0,0,1,0,1,0,55.470252,69.854677
34200,64800,0,0,0,0,0,0,1,0,0,43.687063,40.612948
42100,91300,0,1,0,0,0,1,0,0,0,55.651236,65.617722
45400,93300,1,0,0,0,0,1,1,0,0,62.080634,57.914776
32600,119600,0,1,0,0,0,1,0,0,1,54.861033,84.456772
22600,93200,0,1,0,0,0,1,0,0,1,57.452577,77.676529
22600,92600,0,1,0,0,0,0,0,0,1,57.198519,84.689492
16200,30000,0,0,0,0,0,0,0,0,1,82.119203,26.677179
30500,95300,0,0,0,0,0,0,0,0,1,47.634912,41.335401
30200,54900,1,0,0,0,0,1,0,0,0,55.082887,36.353582
31000,67800,0,0,0,0,0,0,0,1,0,31.62339,43.573764
66900,197000,0,1,1,0,0,0,1,0,0,53.72718,53.014421
28100,78800,0,1,0,0,0,1,0,0,0,60.14151,71.224713
73300,116900,0,1,0,0,0,1,1,0,0,39.951575,61.33123
47400,125400,0,1,0,1,0,0,1,0,0,99.623114,46.789965
71800,149800,0,1,0,1,0,0,1,0,0,49.595469,65.46995
45900,69800,0,1,0,0,0,1,0,1,0,54.01997,71.489495
57300,121500,0,1,0,0,0,1,0,1,0,63.416219,70.78656
46700,98100,0,1,0,0,0,1,1,0,0,63.466668,56.710434
26500,77100,0,1,0,0,0,1,1,0,0,57.312924,76.966709
45400,84300,0,1,0,0,0,1,1,0,0,62.596601,52.950287
36200,82600,0,1,0,0,0,1,0,0,1,64.864862,72.462571
29700,90100,0,1,0,0,0,0,0,0,1,58.221024,34.035909
83000,124500,0,1,0,1,0,0,0,0,1,33.216783,54.17853
25300,108700,0,1,0,0,0,0,0,0,1,45.923913,36.633381
50900,110600,0,1,0,0,0,1,0,0,1,57.888889,66.277009
85800,113100,1,0,0,0,0,1,0,0,1,15.217391,58.743018
65500,124800,1,0,0,0,0,1,0,0,1,46.565855,63.291138
55100,80200,1,0,0,0,0,1,0,0,1,42.013362,50.76192
47900,88700,1,0,0,0,0,1,0,0,1,58.687133,57.990736
46100,67700,1,0,0,0,0,1,0,0,1,64.312041,61.722022
48700,112200,1,0,0,0,0,1,0,0,1,56.964475,60.270417
40300,45600,1,0,0,0,0,1,0,0,1,69.71935,34.141997
51300,86000,1,0,0,0,0,1,0,0,1,65.980864,53.623867
44400,72400,1,0,0,0,0,1,0,0,1,60.37432,59.193456
47800,83300,1,0,0,0,0,1,0,0,1,61.668068,53.429401
48800,85800,1,0,0,0,0,1,0,0,1,64.032125,51.371813
43000,36600,1,0,0,0,0,1,0,0,1,62.447017,39.761055
41100,93200,1,0,0,0,0,1,0,0,1,58.884299,50.071526
44100,61100,1,0,0,0,0,1,0,0,1,58.629012,45.996237
43500,69800,1,0,0,0,0,1,0,0,1,64.688855,53.637075
44400,93600,1,0,0,0,0,1,0,0,1,61.340606,61.089116
44800,72300,1,0,0,0,0,1,0,0,1,66.887784,63.860941
38500,73800,1,0,0,0,0,1,1,0,0,51.052445,60.840291
45900,111500,0,1,0,0,0,1,0,1,0,56.354451,81.562275
32800,56400,1,0,0,0,0,1,0,0,0,53.039598,55.942601
42700,69900,0,1,0,0,0,1,0,0,0,42.536232,59.491992
35100,68100,0,1,0,0,0,1,0,0,0,52.857143,70.021641
50900,94200,0,1,0,0,0,1,1,0,0,51.96529,58.797967
44000,84100,0,1,0,0,0,1,0,1,0,59.396917,64.336526
39100,88400,0,1,0,0,0,1,0,1,0,73.815459,55.637735
51700,152000,0,1,0,1,0,0,0,1,0,52.481753,56.59492
37900,66100,0,1,0,0,0,1,1,0,0,95.319152,57.778484
78400,134400,0,1,0,1,0,0,1,0,0,38.55198,54.4034
47800,89700,0,1,0,0,0,1,0,0,1,59.597808,65.444183
43300,95000,0,1,0,0,0,1,0,1,0,66.409862,65.760481
36300,79100,0,1,0,0,0,1,0,0,0,55.6701,71.554041
47500,101600,0,1,0,0,0,1,0,1,0,54.138702,65.185201
73400,118200,0,1,0,1,0,0,0,1,0,38.777414,62.533736
42000,94000,0,1,0,0,0,1,0,0,0,51.546389,58.018452
57700,133000,0,1,0,0,0,1,0,0,0,53.467155,59.243506
28800,64200,0,1,0,0,0,1,1,0,0,71.875,49.504784
37600,99500,0,1,0,0,0,1,0,1,0,54.532903,79.368979
35200,94300,0,1,0,0,0,1,1,0,0,71.608043,52.12599
45400,100300,0,1,0,0,0,1,0,0,0,61.896551,63.157952
44200,87700,0,1,0,0,0,1,0,1,0,59.307766,75.761187
46600,93300,1,0,0,0,0,1,1,0,0,49.430364,52.908772
36200,66000,0,1,0,0,0,1,0,1,0,51.215279,66.388357
42400,98300,1,0,0,0,0,1,0,1,0,60.200667,64.899361
28000,66800,0,0,0,0,0,0,1,0,0,77.793103,62.044829
25200,40300,1,0,0,0,0,1,0,1,0,54.010028,19.629507
45000,97100,1,0,0,0,0,1,0,0,1,53.757709,63.380742
29300,66300,1,0,0,0,0,1,0,0,1,52.451706,51.344478
49400,111000,0,1,0,0,1,0,0,0,0,55.000001,68.40238
38600,68100,1,0,0,0,0,1,0,1,0,54.812098,68.929827
38100,66600,0,1,0,0,0,1,0,0,1,54.171705,50.743365
39200,85200,0,1,0,0,0,1,1,0,0,53.256702,55.183423
47900,109600,0,1,0,0,1,0,0,0,1,57.103372,56.117231
36900,70500,0,1,0,0,0,1,0,0,0,63.722825,58.523548
31800,71200,0,1,0,0,0,1,1,0,0,98.666668,51.998746
38900,76600,0,1,0,0,0,1,1,0,0,83.625734,43.626398
26500,38600,1,0,0,0,0,1,1,0,0,49.706745,12.473197
31900,43700,1,0,0,0,0,1,0,1,0,71.143085,17.575735
32000,51800,1,0,0,0,0,1,0,0,0,51.313484,49.437055
52000,97600,0,1,0,0,0,1,0,0,0,49.784791,57.391977
41300,92500,1,0,0,0,0,1,0,0,0,59.299958,60.644472
30100,74400,0,1,0,0,0,0,0,1,0,49.321267,84.5846
62800,106800,1,0,0,0,0,1,0,0,0,5.358436,66.932344
48500,35500,1,0,0,0,0,1,1,0,0,47.223812,38.075513
33600,35400,0,1,0,0,0,1,0,0,0,66.911763,24.522418
69900,142000,0,1,0,1,0,0,0,0,1,46.992481,57.537639
38100,75500,1,0,0,0,0,1,1,0,0,61.34454,62.836319
35200,54500,0,1,0,0,0,1,0,0,0,71.659267,19.444919
