hispanic_pop_1,trump_approval,pid,pid_TEXT,gender
49,5,3,,2
75,5,1,,2
15,5,1,,1
35,5,3,,2
60,5,1,,2
85,5,1,,2
75,5,1,,2
25,5,1,,2
75,5,1,,2
75,5,1,,2
75,5,1,,2
66,5,4,Spirit animal ,1
1,5,3,,2
76,5,1,,2
51,4,1,,2
49,3,1,,2
67,2,1,,1
65,4,1,,2
60,5,3,,2
39,5,3,,2
24,5,3,,2
77,5,1,,2
60,5,3,,1
76,5,3,,1
50,5,2,,1
40,5,1,,2
66,5,1,,2
100,5,1,,2
75,5,1,,2
75,5,1,,1
25,3,1,,1
50,5,3,,1
75,5,1,,2
75,5,1,,2
65,4,,,1
74,5,1,,2
76,5,1,,2
73,5,1,,2
66,3,3,,1
65,5,1,,2
75,5,1,,2
15,4,1,,2
75,5,2,,2
17,4,1,,2
50,5,1,,2
87,5,1,,2
80,5,1,,2
80,5,3,,2
98,5,3,,2
75,5,3,,1
90,5,1,,2
1,3,1,,1
33,5,1,,2
75,5,1,,1
25,3,2,,2
3,5,3,,1
35,5,1,,2
35,5,1,,2
61,5,1,,2
60,5,1,,2
85,5,1,,1
75,5,3,,2
50,3,3,,2
61,5,1,,2
65,5,3,,1
24,5,3,,1
61,5,1,,1
50,5,3,,2
58,5,1,,1
38,5,3,,1
20,4,4,Indepedent ,1
32,5,1,,2
35,5,1,,2
12,5,1,,2
59,5,1,,2
33,4,3,,2
20,5,1,,1
60,5,3,,2
37,5,3,,1
21,5,1,,2
88,5,3,,1
50,4,3,,1
80,5,1,,2
13,4,1,,1
42,5,1,,2
30,4,3,,1
54,5,1,,1
32,5,1,,2
60,5,1,,2
71,5,1,,2
65,5,3,,2
,,,,
57,5,1,,2
,,,,
,,,,
,,,,
,,,,
7,5,1,,2
,,,,
,,,,
,,,,
,,,,
60,5,1,,2
25,5,1,,2
5,5,3,,1
3,5,1,,1
75,1,2,,1
20,5,3,,1
25,5,4,Libertarian ,1
10,5,3,,1
30,2,2,,1
2,5,1,,2
30,5,2,,1
2,5,2,,2
3,4,2,,1
8,5,2,,1
70,5,1,,1
35,5,1,,1
25,2,3,,2
11,5,1,,2
13,5,1,,2
20,5,1,,2
8,5,1,,2
21,5,1,,2
34,5,1,,1
5,5,1,,2
10,5,3,,2
10,5,2,,2
28,5,1,,2
24,5,1,,2
5,5,1,,1
19,5,1,,2
0,5,1,,2
51,5,1,,1
18,5,1,,2
30,5,1,,2
10,5,1,,2
12,5,3,,2
26,2,3,,1
20,5,1,,2
24,1,2,,1
47,5,1,,2
13,5,1,,2
15,5,1,,2
26,4,2,,2
6,5,1,,2
60,3,2,,2
7,5,1,,2
17,5,1,,2
15,4,3,,2
20,3,3,,2
40,3,1,,1
39,5,1,,2
14,5,1,,2
15,3,2,,2
17,5,1,,2
35,5,4,Independent,1
20,5,1,,2
34,5,1,,2
10,4,1,,1
6,3,2,,2
43,1,2,,1
23,5,1,,2
5,5,3,,1
7,5,1,,1
12,5,1,,1
4,5,3,,1
4,5,2,,2
17,5,1,,2
76,1,2,,2
23,5,1,,2
22,5,1,,2
35,5,1,,2
5,5,1,,2
5,5,1,,2
35,3,3,,1
,,,,
20,2,2,,
